SPAC IPO ,Date of IPO,CUSIP
Cactus Acquisition Corp. 1 Ltd.,10/28/2021,G1745A116
AltEnergy Acquisition Corp.,10/28/2021,02157M207
Arbor Rapha Capital Bioholdings Corp. I,10/28/2021,03881F203
Perception Capital Corp. II,10/27/2021,G7007D128
Focus Impact Acquisition Corp.,10/27/2021,34417L208
Seaport Calibre Materials Acquisition Corp.,10/27/2021,812204204
Anthemis Digital Acquisitions I Corp.,10/27/2021,G03959122
Deep Medicine Acquisition Corp.,10/26/2021,243733201
LAVA Medtech Acquisition Corp.,10/26/2021,519345201
Pyrophyte Acquisition Corp.,10/26/2021,G7308P119
Innovative International Acquisition Corp.,10/26/2021,G4809M117
OPY Acquisition Corp. I,10/26/2021,671005205
TKB Critical Technologies 1,10/26/2021,G88935104
M3-Brigade Acquisition III Corp.,10/21/2021,55407R202
Pegasus Digital Mobility Acquisition Corp.,10/21/2021,G69768128
Iconic Sports Acquisition Corp.,10/21/2021,G4712C123
Newhold Investment Corp. II,10/20/2021,651450207
GoGreen Investments Corp.,10/20/2021,G9461B127
Global Technology Acquisition Corp. I,10/20/2021,G3934N123
Accretion Acquisition Corp.,10/20/2021,00438Y206
Thrive Acquisition Corp.,10/20/2021,G7158C127
ExcelFin Acquisition Corp.,10/20/2021,30069X201
Newcourt Acquisition Corp.,10/19/2021,G6448C111
"Industrial Human Capital, Inc.",10/19/2021,45617P203
Athena Consumer Acquisition Corp.,10/19/2021,04684M205
Enterprise 4.0 Technology Acquisition Corp.,10/19/2021,G3137C122
Worldwide Webb Acquisition Corp.,10/19/2021,G97775129
ESGEN Acquisition Corp.,10/19/2021,G3R95N129
Fintech Ecosystem Development Corp.,10/18/2021,318136207
Blockchain Moon Acquisition Corp.,10/18/2021,09370F208
Sportsmap Tech Acquisition Corp.,10/18/2021,84921J207
Achari Ventures Holdings Corp. I,10/15/2021,00444X200
Compass Digital Acquisition Corp.,10/15/2021,G2476C115
Founder SPAC,10/14/2021,G3661E122
Sanaby Health Acquisition Corp. I,10/14/2021,79956P201
PepperLime Health Acquisition Corp.,10/14/2021,G70021129
Tristar Acquisition I Corp.,10/13/2021,G9074V122
Black Mountain Acquisition Corp.,10/13/2021,09216A207
Rose Hill Acquisition Corp.,10/13/2021,G7637J115
Fat Projects Acquisition Corp.,10/12/2021,G3400W128
Gesher I Acquisition Corp.,10/12/2021,G38537117
Learn CW Investment Corp.,10/8/2021,G54157121
Schultze Special Purpose Acquisition Corp. II,10/7/2021,808212203
Maxpro Capital Acquisition Corp.,10/7/2021,57778T205
Hawks Acquisition Corp.,10/7/2021,42032P207
IX Acquisition Corp.,10/7/2021,G5000D129
Avalon Acquisition Inc.,10/5/2021,05338E200
Parsec Capital Acquisitions Corp.,10/5/2021,70184A207
Enphys Acquisition Corp.,10/5/2021,G3167L125
Phoenix Biotech Acquisition Corp.,10/5/2021,71902K204
Mount Rainier Acquisition Corp.,10/4/2021,623006202
Crixus BH3 Acquisition Corp.,10/4/2021,22677T201
"dMY Technology Group, Inc. VI",9/30/2021,233247204
Monterey Bio Acquisition Corp.,9/30/2021,61240F207
Marblegate Acquisition Corp.,9/30/2021,56608A204
Artemis Strategic Investment Corp.,9/29/2021,04303A202
Home Plate Acquisition Corp.,9/29/2021,43734R202
Hennessy Capital Investment Corp. VI,9/28/2021,42600H207
MELI Kaszek Pioneer Corp.,9/28/2021,G5S74L106
Parabellum Acquisition Corp.,9/27/2021,69901P208
Berenson Acquisition Corp. I,9/27/2021,083690206
"GigCapital5, Inc.",9/23/2021,37519U208
Direct Selling Acquisition Corp.,9/23/2021,25460L202
Live Oak Crestview Climate Acquisition Corp.,9/22/2021,538086208
Inflection Point Acquisition Corp.,9/21/2021,G47874105
Argus Capital Corp.,9/21/2021,04026L204
HHG Capital Corp.,9/20/2021,G4R23P137
SOAR Technology Acquisition Corp.,9/15/2021,G82472104
Sierra Lake Acquisition Corp.,9/14/2021,826332207
"CIIG Capital Partners II, Inc.",9/14/2021,12561U208
