,Unnamed: 0,offer date,IPO name,ticker,CUSIP,Rollup,VC,Dual,Internet,Post-issue shares,CRSP perm,Founding,Unnamed: 11,Unnamed: 12,Unnamed: 13,cusip_trunc
1435,10423,20040927,Kayne Anderson MLP Inv Co,KYN,486606106,0,0,.,0,.,90340,-99,,,,4866
1452,10453,20041020,VNUS Medical Technologies Inc,VNUS,928566108,0,1,0,0,.,90428,1995,,,,9285
1458,10462,20041027,Build A Bear Workshop Inc,BBW,120076104,0,2,0,0,.,90371,1997,,,,1200
1461,10465,20041027,FoxHollow Technologies Inc,FOXH,35166A103,0,1,0,0,.,90407,1996,,,,3516
1464,10469,20041028,Digital Realty Trust Inc,DLR,253868103,0,0,0,0,.,90373,-99,,,,2538
1481,10490,20041122,RMR FIRE Fund,RFR,74963M101,0,0,0,0,.,90446,-99,,,,7496
1491,10507,20041214,Cascade Microtech Inc,CSCD,147322101,0,1,0,0,.,90478,1983,,,,1473
1497,10518,20041215,KMG America Corp,KMA,482563103,0,0,0,0,.,90504,1991,,,,4825
1521,10564,20050214,Alpha Natural Resources Inc,ANR,02076X102,0,0,0,0,.,90547,1984,,,,0207
1522,10566,20050214,ECC Capital Corp,ECR,26826M108,0,0,0,0,.,90551,-99,,,,2682
1540,10604,20050427,Clough Global Equity Fund,GLQ,18914C100,0,0,0,0,.,90646,-99,,,,1891
1551,10620,20050525,DiamondRock Hospitality Co,DRH,252784301,0,0,0,0,.,90680,-99,,,,2527
1564,10639,20050622,Builders FirstSource Inc,BLDR,12008R107,0,0,0,0,.,90720,1998,,,,1200
1565,10641,20050622,Gladstone Investment Corp,GAIN,376546107,0,0,0,0,.,90729,-99,,,,3765
1569,10648,20050627,Kayne Anderson Energy Total,KYE,48660P104,0,0,0,0,.,90761,-99,,,,4866
1579,10666,20050713,Focus Media(China)Holding Co,FMCN,34415V109,0,1,0,0,.,90810,2003,,,,3441
1596,10694,20050803,MWI Veterinary Supply Inc,MWIV,55402X105,0,0,0,0,.,90867,1976,,,,5540
1608,10712,20050810,CF Industries Inc,CF,125269100,0,0,0,0,.,90829,1946,,,,1252
1616,10728,20050919,Williams Scotsman Int Inc,WLSC,96950G102,0,0,0,0,.,90915,1955,,,,9695
1628,10748,20051011,TAL International Group Inc,TAL,874083108,0,0,0,0,.,90940,1963,,,,8740
1636,10766,20051027,Accentia Biopharmaceuticals,ABPI,00430L103,0,1,0,0,.,90945,2002,,,,0043
1639,10770,20051101,Newkirk Realty Trust Inc,NKT,651497109,0,0,0,0,.,90997,-99,,,,6514
1653,10826,20060131,Fortunet Inc,FNET,34969Q100,0,0,0,0,.,91079,1989,,,,3496
1660,10834,20060202,Digital Music Group Inc,DMGI,25388X106,0,0,0,1,.,91091,2004,,,,2538
1661,10835,20060202,HealthSpring Inc,HS,42224N101,0,0,0,0,.,91113,2000,,,,4222
1664,10843,20060208,NightHawk Radiology Holdings,NHWK,65411N105,0,1,0,1,.,91098,2001,,,,6541
1679,10869,20060404,Visicu Inc,EICU,92831L204,0,1,0,0,.,91175,1998,,,,9283
1687,10884,20060425,Clough Global Opportunities,GLO,18914E106,0,0,0,0,.,91194,-99,,,,1891
1688,10886,20060425,Global Income & Currency Fund,GCF,378968101,0,0,0,0,.,91198,-99,,,,3789
1692,10896,20060509,Novacea Inc,NOVC,66987B103,0,1,0,0,.,91279,2001,,,,6698
1701,10908,20060525,Mueller Water Products Inc,MWA,624758108,0,0,1,0,110844920,91234,1857,,,,6247
1715,10930,20060627,Omniture Inc,OMTR,68212S109,0,1,0,1,.,91362,1996,,,,6821
1726,10953,20060803,Osiris Therapeutics Inc,OSIR,68827R108,0,1,0,0,.,91434,1992,,,,6882
1727,10954,20060807,Aircastle Ltd,AYR,G0129K104,0,0,0,0,.,91426,2004,,,,G012
1729,10956,20060810,Evercore Partners Inc,EVR,29977A105,0,0,1,0,27132067,91413,1996,,,,2997
1732,10964,20060920,Kayne Anderson Energy Dvpt,KED,48660Q102,0,0,0,0,.,91452,-99,,,,4866
1741,10977,20060929,Omni Financial Services Inc,OFSI,68214U102,0,0,0,0,.,91470,1992,,,,6821
1743,10980,20061004,BreitBurn Energy Partners L.P.,BBEP,106776107,0,0,0,0,.,91494,1988,,,,1067
1758,11001,20061025,Achillion Pharmaceuticals Inc,ACHN,00448Q201,0,1,0,0,.,91491,1998,,,,0044
1761,11005,20061101,Debt Resolve Inc,DRV,24276R206,0,0,0,0,.,91569,1997,,,,2427
1762,11006,20061101,GLOBALSTAR INC,GSAT,378973408,0,0,0,0,.,91612,1993,,,,3789
1767,11011,20061108,KBW Inc,KBW,482423100,0,0,0,0,.,91578,1962,,,,4824
1773,11023,20061115,"KBR, Inc.",KBR,48242W106,0,0,0,0,.,91579,1901,,,,4824
1779,11030,20061121,Spirit Aerosystems Holdings,SPR,848574109,0,0,1,0,127992782,91594,1950,,,,8485
1785,11040,20061208,Allegiant Travel Company,ALGT,01748X102,0,0,0,0,.,91659,1997,,,,0174
1804,11065,20061219,Trina Solar Limited,TSL,89628E104,0,0,0,0,.,91653,1997,,,,8962
1805,11066,20061220,Artes Medical,ARTE,04301Q100,0,0,0,0,.,91660,1999,,,,0430
1808,11076,20070122,AeroVironment Inc,AVAV,008073108,0,0,0,0,.,91733,1971,,,,0080
1820,11099,20070207,Accuray Inc,ARAY,004397105,0,1,0,0,.,91814,1990,,,,0043
1822,11102,20070207,Switch And Data Inc,SDXC,871043105,0,1,0,0,.,91830,1998,,,,8710
1826,11111,20070214,OpNext Inc,OPXT,68375V105,0,0,0,0,.,91825,2000,,,,6837
1840,11137,20070326,Aruba Networks Inc,ARUN,043176106,0,1,0,1,.,91888,2002,,,,0431
1845,11144,20070328,GSI Technology Inc,GSIT,36241U106,0,1,0,0,.,91901,1995,,,,3624
1847,11146,20070328,SenoRx Inc,SENO,81724W104,0,1,0,0,.,91906,1998,,,,8172
1858,11165,20070425,Edenor,EDN,29244A102,0,0,1,0,303295943,91929,1992,,,,2924
1862,11173,20070502,Qiao Xing Mobile Commun,QXM,G73031109,0,0,0,0,.,92031,2000,,,,G730
1868,11181,20070514,Insulet Corp,PODD,45784P101,0,1,0,0,.,92050,2000,,,,4578
1884,11206,20070525,RMR Asia Real Estate Fund,RAF,74964Q101,0,0,1,0,4750000,92017,-99,,,,7496
1887,11211,20070605,Starent Networks Corp,STAR,85528P108,0,1,0,0,.,92104,2000,,,,8552
1895,11233,20070626,Data Domain Inc,DDUP,23767P109,0,1,0,0,.,92092,2001,,,,2376
1901,11242,20070627,Pros Holdings Inc,PRO,74346Y103,0,1,0,0,.,92143,1985,,,,7434
1902,11243,20070627,Vaughan Foods Inc,FOODU,92241M107,0,0,0,0,.,92199,1961,,,,9224
1918,11272,20070802,Concho Resources Inc,CXO,20605P101,0,0,0,0,.,92239,2004,,,,2060
1924,11279,20070808,DemandTec Inc,DMAN,24802R506,0,1,0,0,.,92214,1999,,,,2480
1928,11284,20070813,VMware Inc,VMW,928563402,0,1,1,0,375120000,92257,1998,,,,9285
1930,11289,20070919,athenahealth Inc,ATHN,04685W103,0,1,0,0,.,92296,1997,,,,0468
1943,11311,20071010,"Virgin Mobile USA, Inc",VM,92769R108,0,0,1,0,53137097,92376,2002,,,,9276
1948,11323,20071023,Longtop Finl Tech Ltd,LFT,54318P108,0,1,1,0,49277600,92338,1996,,,,5431
1965,11353,20071108,OSG America LP,OSP,671028108,0,0,1,0,15000000,92404,2007,,,,6710
1972,11370,20071116,Internet Brands Inc,INET,460608102,1,2,1,1,41767897,92442,1998,,,,4606
1984,11397,20071218,Orion Energy Systems Inc,OESX,686275108,0,1,0,0,.,92466,1996,,,,6862
1987,11403,20080117,Sports Prop Acq Corp,HMR,84920F107,0,0,0,0,.,92578,-99,,,,8492
1988,11404,20080117,Williams Pipeline Partners LP,WMZ,96950K103,0,0,1,0,22600668,92549,1983,,,,9695
2020,11465,20090513,DigitalGlobe Inc,DGI,25389M877,0,1,0,0,.,92924,1995,,,,2538
2021,11467,20090521,OpenTable Inc,OPEN,68372A104,0,1,0,1,.,92934,1999,,,,6837
2027,11476,20090630,LogMeIn Inc,LOGM,54142L109,0,1,0,0,.,92984,2003,,,,5414
2036,11489,20090923,A123 Systems Inc,AONE,03739T108,0,1,0,0,.,93037,2001,,,,0373
2037,11490,20090923,Apollo Coml RE Fin Inc,ARI,03762U105,0,0,0,0,.,93014,2009,,,,0376
2038,11491,20090923,Artio Global Investors Inc,ART,04315B107,0,0,1,0,60006924,93015,1962,,,,0431
2039,11493,20090923,Vitacost.com Inc,VITC,92847A200,0,0,0,1,.,93047,1994,,,,9284
2049,11503,20091007,Omeros Corp,OMER,682143102,0,1,0,0,.,93085,1994,,,,6821
