,Unnamed: 0,conm,tic,CUSIP,Date of IPO,IS_SPAC,matched_name
2163,1333,STUARTS DEPT. STORES,STUS,86383910,,False,"('STARZ', 72)"
2164,1334,WESTWORLD COMMUNITY,WCHI,96183310,,False,"('WORLD WIRELESS COMMUNICATION', 68)"
2165,1335,ALASKA NAT'L BANK,ANBN,1174910,,False,"('OPUS BANK', 86)"
2166,1336,U.S. MEDICAL ENTER.,USMD,91220110,,False,"('EUNITS 2 YR U S MKT PARTN II', 86)"
2167,1337,ADVANCED LOGIC SYS.,ADVL,690210,,False,"('SYS', 90)"
2168,1338,ARTHUR J. GALLAGHER,AJGC,36357610,,False,"('J JILL INC', 86)"
2169,1339,FIRST FED. BANK,FFBN,31992510,,False,"('FIRST TR MLP & ENRGY INCM FD', 86)"
2170,1340,COMPUTER DEPOT INC.,CDPT,20492810,,False,"('MARATHON DIGITAL HOLDNGS INC', 86)"
2171,1341,CONCORD COMPUTING,CEFT,20618910,,False,"('CONCORD COMMUNICATIONS INC', 86)"
2172,1342,FIRST AMER. FEDERAL,FAMF,31852110,,False,"('FIRST BANK', 86)"
2173,1343,FLAGLER  BANK CORP.,FLGL,33838410,,False,"('GENZYME CORP', 86)"
2174,1344,HEALTHCARE AFFIL.,HCAF,42220L10,,False,"('ENVISION HEALTHCARE HLDGS', 86)"
2175,1345,SATELITTE MUSIC NTWK,,80400620,,False,"('MEMSIC INC', 63)"
2176,1346,OCCUPATIONAL-URGENT,OUCH,67462110,,False,"('DOCUCORP INTERNATIONAL INC', 58)"
2177,1347,PHOENIX MEDICAL,PHNX,71909510,,False,"('HELIUS MEDICAL TECHNOLOGIES', 86)"
2178,1348,W.H. BRADY CO.,BRCOA,10467410,,False,"('HOUGHTON MIFFLIN HARCOURT CO', 86)"
2179,1349,"VICOM, INC.",VICM,92580810,,False,"('VIACOM INC', 90)"
2180,1350,DISPLAY COMPONENTS,DSCM,25469510,,False,"('ARTISAN COMPONENTS INC', 70)"
2181,1351,ALTERNACARE CORP.,ALTN,2145010,,False,"('PROVIDIAN FINANCIAL CORP', 86)"
2182,1352,AMER. SHARED HOSPITAL,AMSH,2959510,,False,"('MERISTAR HOSPITALITY CORP', 65)"
2183,1353,COASTAL SAVINGS BANK,CSBKA,19051710,,False,"('OPUS BANK', 86)"
2184,1354,CELLULAR AMERICA,CELM,15116210,,False,"('CELLULAR DYNAMICS INTL INC', 86)"
2185,1355,ATLANTIC PERMANENT,APER,4878410,,False,"('ATLANTIC ALLIANCE PARTNERSHP', 86)"
2186,1356,BUSINESS COMPUTER,,12324220,,False,"('BROOKFIELD BUSINESS PRTNR LP', 86)"
2187,1357,KAPPA NETWORK,KAPA,48560810,,False,"('BLACKHAWK NETWORK HLDGS INC', 86)"
2188,1358,TRANSTECTOR SYSTEMS,TTOR,89389110,,False,"('SYS', 90)"
2189,1359,ENVIRONMENTAL PROC.,,29390620,,False,"('ENVIRONMENTAL SAFEGUARDS INC', 86)"
2190,1360,SHOPPERS WORLD,SHWS,82509710,,False,"('WORLD POINT TERMINALS LP', 86)"
2191,1361,AUDIO/VIDEO AFFIL.,AVDO,5090310,,False,"('AUDIO VISUAL SERVICES CORP', 86)"
2192,1362,TECHNOGENETICS INC.,TXNO,87861510,,False,"('MARATHON DIGITAL HOLDNGS INC', 86)"
2193,1363,"CERADYNE, INC.",CRDN,15671010,,False,"('MARATHON DIGITAL HOLDNGS INC', 86)"
2194,1364,SAHLEN & ASSOCIATES,,78709520,,False,"('MANHATTAN ASSOCIATES INC', 70)"
2195,1365,PIONEER FEDERAL S&L,PION,72367110,,False,"('CD&L INC', 86)"
2196,1366,MGMT. SUPPORT TECH.,,56170220,,False,"('ARTISAN PARTNERS ASSET MGMT', 86)"
2197,1367,"WAGS STORES, INC.",WAGS,93056510,,False,"('MARATHON DIGITAL HOLDNGS INC', 86)"
