,SPAC IPO ,Date of IPO,IPO name
712,Good Works Acquisition Corp.,10/20/2020,Decarbonization Plus Acq Corp
713,Good Works Acquisition Corp.,10/20/2020,Good Works Acquisition Corp
714,Good Works Acquisition Corp.,10/20/2020,Helix Acquisition Corp
715,Good Works Acquisition Corp.,10/20/2020,Horizon Acquisition Corp II
716,"Supernova Partners Acquisition Co., Inc.",10/20/2020,Decarbonization Plus Acq Corp
717,"Supernova Partners Acquisition Co., Inc.",10/20/2020,Good Works Acquisition Corp
718,"Supernova Partners Acquisition Co., Inc.",10/20/2020,Helix Acquisition Corp
719,"Supernova Partners Acquisition Co., Inc.",10/20/2020,Horizon Acquisition Corp II
720,Sarissa Capital Acquisition Corp.,10/20/2020,Decarbonization Plus Acq Corp
721,Sarissa Capital Acquisition Corp.,10/20/2020,Good Works Acquisition Corp
722,Sarissa Capital Acquisition Corp.,10/20/2020,Helix Acquisition Corp
723,Sarissa Capital Acquisition Corp.,10/20/2020,Horizon Acquisition Corp II
724,H.I.G. Acquisition Corp,10/20/2020,Decarbonization Plus Acq Corp
725,H.I.G. Acquisition Corp,10/20/2020,Good Works Acquisition Corp
726,H.I.G. Acquisition Corp,10/20/2020,Helix Acquisition Corp
727,H.I.G. Acquisition Corp,10/20/2020,Horizon Acquisition Corp II
728,Lefteris Acquisition Corp.,10/20/2020,Decarbonization Plus Acq Corp
729,Lefteris Acquisition Corp.,10/20/2020,Good Works Acquisition Corp
730,Lefteris Acquisition Corp.,10/20/2020,Helix Acquisition Corp
731,Lefteris Acquisition Corp.,10/20/2020,Horizon Acquisition Corp II
732,Bridgetown Holdings Ltd.,10/16/2020,Aligos Therapeutics Inc
733,Bridgetown Holdings Ltd.,10/16/2020,Bridgetown Holdings Ltd
734,Bridgetown Holdings Ltd.,10/16/2020,Eargo Inc
735,Bridgetown Holdings Ltd.,10/16/2020,Kiromic Biopharma Inc
736,Bridgetown Holdings Ltd.,10/16/2020,Praxis Precision Medicines Inc
737,Bridgetown Holdings Ltd.,10/16/2020,Tarsus Pharmaceuticals Inc
738,Bridgetown Holdings Ltd.,10/16/2020,Turmeric Acquisition Corp
739,Motion Acquisition Corp.,10/15/2020,Array Technologies Inc
740,Motion Acquisition Corp.,10/15/2020,MINISO Group Holding Ltd
741,Motion Acquisition Corp.,10/15/2020,Motion Acquisition Corp
742,Motion Acquisition Corp.,10/15/2020,Spartacus Acq Corp
743,Spartacus Acquisition Corp.,10/15/2020,Array Technologies Inc
744,Spartacus Acquisition Corp.,10/15/2020,MINISO Group Holding Ltd
745,Spartacus Acquisition Corp.,10/15/2020,Motion Acquisition Corp
746,Spartacus Acquisition Corp.,10/15/2020,Spartacus Acq Corp
747,Turmeric Acquisition Corp.,10/15/2020,Array Technologies Inc
748,Turmeric Acquisition Corp.,10/15/2020,MINISO Group Holding Ltd
749,Turmeric Acquisition Corp.,10/15/2020,Motion Acquisition Corp
750,Turmeric Acquisition Corp.,10/15/2020,Spartacus Acq Corp
751,LIV Capital Acquisition Corp.,12/13/2019,CIIG Merger Corp
752,LIV Capital Acquisition Corp.,12/13/2019,Healthcare Merger Corp
753,LIV Capital Acquisition Corp.,12/13/2019,OneConnect Finl Tech Co Ltd
754,LIV Capital Acquisition Corp.,12/13/2019,Sprout Social Inc
755,PropTech Acquisition Corp.,11/26/2019,Alussa Energy Acq Corp
756,PropTech Acquisition Corp.,11/26/2019,Calamos Long/Short Equity Inc
757,CHP Merger Corp.,11/26/2019,Alussa Energy Acq Corp
758,CHP Merger Corp.,11/26/2019,Calamos Long/Short Equity Inc
759,Amplitude Healthcare Acquisition Corp.,11/22/2019,Alpine Income Property Trust
760,Amplitude Healthcare Acquisition Corp.,11/22/2019,CHP Merger Corp
761,Amplitude Healthcare Acquisition Corp.,11/22/2019,PropTech Acquisition Corp
762,Software Acquisition Group Inc.,11/22/2019,Alpine Income Property Trust
763,Software Acquisition Group Inc.,11/22/2019,CHP Merger Corp
764,Software Acquisition Group Inc.,11/22/2019,PropTech Acquisition Corp
765,GreenVision Acquisition Corp.,11/21/2019,Canaan Inc
766,GreenVision Acquisition Corp.,11/21/2019,SiTime Corp
767,Stable Road Acquisition Corp.,11/13/2019,YayYo Inc
768,"Juniper Industrial Holdings, Inc.",11/13/2019,YayYo Inc
769,Chardan Healthcare Acquisition Corp.,12/18/2018,Aptorum Grp Ltd
770,CF Finance Acquisition Corp.,12/17/2018,Chardan Healthcare Acq Corp
771,Schultze Special Purpose Acquisition Corp.,12/13/2018,CF Finance Acquisition Corp
772,FinTech Acquisition Corp. III,11/20/2018,TuanChe Limited
773,AMCI Acquisition Corp.,11/20/2018,TuanChe Limited
774,Boxwood Merger Corp.,11/20/2018,TuanChe Limited
775,Alberton Acquisition Corp.,10/26/2018,Gamida Cell Ltd
776,Alberton Acquisition Corp.,10/26/2018,RiverNorth Opportunistic Munic
777,Graf Industrial Corp.,10/18/2018,Osmotica Pharmaceuticals PLC
778,Graf Industrial Corp.,10/18/2018,PhaseBio Pharmaceuticals Inc
779,Graf Industrial Corp.,10/18/2018,Studio City Intl Hldg Ltd
780,DD3 Acquisition Corp.,10/16/2018,Graf Industrial Corp
781,Legacy Acquisition Corp.,11/17/2017,Bluegreen Vacations Corp
782,Legacy Acquisition Corp.,11/17/2017,Legacy Acquisition
783,Legacy Acquisition Corp.,11/17/2017,SailPoint Tech Hldg Inc
784,Legacy Acquisition Corp.,11/17/2017,Sterling Bancorp Inc
785,Legacy Acquisition Corp.,11/17/2017,Stitch Fix Inc
786,Legacy Acquisition Corp.,11/17/2017,scPharmaceuticals Inc
787,Haymaker Acquisition Corp.,10/27/2017,Dreyfus Alcentra Gl Cr 2024
788,Haymaker Acquisition Corp.,10/27/2017,Forescout Technologies Inc
789,Haymaker Acquisition Corp.,10/27/2017,Merchants Bancorp
790,Haymaker Acquisition Corp.,10/27/2017,Nexa Resources SA
791,Avista Healthcare Public Acquisition Corp.,10/14/2016,Mammoth Energy Services Inc
