SPAC IPO ,Date of IPO,CUSIP,MergeKey,ClosestMatch
ROC Energy Acquisition Corp.,12/1/2021,77118V207,ROC Energy Acquisition Corp,"('ROC Energy Acquisition Corp', 100, 15051)"
UTA Acquisition Corp.,12/1/2021,G9473A125,UTA Acquisition Corp,"('UTA Acquisition Corp', 100, 15052)"
TLGY Acquisition Corp.,11/30/2021,G8656T117,TLGY Acquisition Corp,"('TLGY Acquisition Corp', 100, 15049)"
Capitalworks Emerging Markets Acquisition Corp.,11/30/2021,G1889L118,Emerging Markets,"('Emerging Markets', 90, 5729)"
Roth CH Acquisition V Co.,11/30/2021,77867R209,Roth CH Acquisition V Co,"('Roth CH Acquisition V Co', 100, 15048)"
PROOF Acquisition Corp. I,11/30/2021,74349W203,PROOF Acquisition Corp I,"('PROOF Acquisition Corp I', 98, 15047)"
Canna-Global Acquisition Corp.,11/29/2021,13767K200,Canna-Global Acquisition Corp,"('Canna-Global Acquisition Corp', 100, 15045)"
Beard Energy Transition Acquisition Corp.,11/23/2021,07402Q200,KLR Energy Acquisition Corp,"('KLR Energy Acquisition Corp', 87, 12834)"
Everest Consolidator Acquisition Corp.,11/23/2021,29978K201,Everest Consolidator Acquisiti,"('Everest Consolidator Acquisiti', 90, 15043)"
Vahanna Tech Edge Acquisition I Corp.,11/23/2021,G9320Z125,KEYSTONE FOODS CORP,"('KEYSTONE FOODS CORP', 86, 3)"
8i Acquisition 2 Corp.,11/22/2021,G2956R111,8i Acquisition 2 Corp,"('8i Acquisition 2 Corp', 100, 15037)"
Mana Capital Acquisition Corp.,11/22/2021,56168P203,Mana Capital Acquisition Corp,"('Mana Capital Acquisition Corp', 100, 15039)"
Legato Merger Corp. II,11/22/2021,52473Y203,Legato Merger Corp II,"('Legato Merger Corp II', 98, 15038)"
FTAC Zeus Acquisition Corp.,11/18/2021,30320F205,FTAC Zeus Acquisition Corp.,"('FTAC Zeus Acquisition Corp.', 100, 15032)"
Crescera Capital Acquisition Corp.,11/18/2021,G26507122,Crescera Capital Acquisition C,"('Crescera Capital Acquisition C', 95, 15031)"
InFinT Acquisition Corp.,11/18/2021,G47862118,InFinT Acquisition Corp,"('InFinT Acquisition Corp', 100, 15034)"
Infinite Acquisition Corp.,11/18/2021,G48028115,Infinite Acquisition Corp.,"('Infinite Acquisition Corp.', 100, 15035)"
