SPAC IPO ,Date of IPO,CUSIP,MergeKey,ClosestMatch
Chardan NexTech Acquisition 2 Corp.,8/10/2021,159561208,Chardan NexTech Acquisition 2,"('Chardan NexTech Acquisition 2', 95, 14771)"
Decarbonization Plus Acquisition Corp. IV,8/10/2021,G2773W129,Decarbonization Plus,"('Decarbonization Plus', 90, 14212)"
World Quantum Growth Acquisition Corp.,8/10/2021,G5596W119,World Quantum Growth Acquisiti,"('World Quantum Growth Acquisiti', 90, 14775)"
PONO Capital Corp.,8/10/2021,732450200,PONO Capital Corp,"('PONO Capital Corp', 100, 14773)"
Avista Public Acquisition Corp. II,8/9/2021,G07247110,Avista Public Acquisition Corp,"('Avista Public Acquisition Corp', 95, 14767)"
Conyers Park III Acquisition Corp.,8/9/2021,21289P201,Conyers Park Acquisition Corp,"('Conyers Park Acquisition Corp', 95, 12873)"
"Abri Spac I, Inc.",8/9/2021,00085X204,Abri Spac I Inc,"('Abri Spac I Inc', 97, 14766)"
Riverview Acquisition Corp.,8/5/2021,769395203,Riverview Acquisition Corp,"('Riverview Acquisition Corp', 100, 14763)"
Nova Vision Acquisition Corp.,8/5/2021,G6759A126,Nova Vision Acquisition Corp,"('Nova Vision Acquisition Corp', 100, 14762)"
Roth CH Acquisition IV Co.,8/5/2021,77867P203,Roth CH Acquisition IV Co,"('Roth CH Acquisition IV Co', 100, 14764)"
Gladstone Acquisition Corp.,8/4/2021,37653T207,Gladstone Acquisition Corp,"('Gladstone Acquisition Corp', 100, 14759)"
AMCI Acquisition Corp. II,8/3/2021,00166R209,AMCI Acquisition Corp II,"('AMCI Acquisition Corp II', 98, 14756)"
Blue Whale Acquisition Corp. I,8/3/2021,G1330M111,Blue Whale Acquisition Corp I,"('Blue Whale Acquisition Corp I', 98, 14757)"
Healthwell Acquisition Corp. I,8/2/2021,42227R208,Healthwell Acquisition Corp I,"('Healthwell Acquisition Corp I', 98, 14755)"
XPAC Acquisition Corp.,7/30/2021,G9831X114,XPAC Acquisition Corp,"('XPAC Acquisition Corp', 100, 14754)"
Software Acquisition Group Inc. III,7/28/2021,83407J202,Software Acquisition Group III,"('Software Acquisition Group III', 95, 14745)"
International Media Acquisition Corp.,7/28/2021,459867206,International Media Acquisitio,"('International Media Acquisitio', 91, 14739)"
Metals Acquisition Corp.,7/28/2021,G60405118,,
Alpha Partners Technology Merger Corp.,7/27/2021,G63290129,Alpha Partners Technology Merg,"('Alpha Partners Technology Merg', 90, 14730)"
Mercury Ecommerce Acquisition Corp.,7/27/2021,589381201,,
Alpha Healthcare Acquisition Corp. III,7/26/2021,02073F203,,
Williams Rowland Acquisition Corp.,7/26/2021,96951B201,Williams Rowland Acquisition,"('Williams Rowland Acquisition', 95, 14729)"
Belong Acquisition Corp.,7/22/2021,08069M201,Belong Acquisition Corp,"('Belong Acquisition Corp', 100, 14719)"
Portage Fintech Acquisition Corp.,7/20/2021,G7185D122,Portage Fintech Acquisition Co,"('Portage Fintech Acquisition Co', 97, 14709)"
TortoiseEcofin Acquisition Corp. III,7/19/2021,G8956E208,TortoiseEcofin Acquisition III,"('TortoiseEcofin Acquisition III', 95, 14705)"
Clover Leaf Capital Corp.,7/19/2021,1.89E+208,Clover Leaf Capital Corp,"('Clover Leaf Capital Corp', 100, 14703)"
Chavant Capital Acquisition Corp.,7/19/2021,G2058L129,Chavant Capital Acquisition Co,"('Chavant Capital Acquisition Co', 97, 14702)"
Bilander Acquisition Corp.,7/15/2021,09001T205,Bilander Acquisition Corp,"('Bilander Acquisition Corp', 100, 14691)"
StoneBridge Acquisition Corp.,7/15/2021,G85094111,StoneBridge Acquisition Corp,"('StoneBridge Acquisition Corp', 100, 14700)"
Black Spade Acquisition Co.,7/15/2021,G11537126,Black Spade Acquisition Co,"('Black Spade Acquisition Co', 100, 14692)"
TradeUP Acquisition Corp.,7/14/2021,89268A206,TradeUP Acquisition Corp,"('TradeUP Acquisition Corp', 100, 14690)"
JATT Acquisition Corp.,7/14/2021,G50752115,JATT Acquisition Corp,"('JATT Acquisition Corp', 100, 14679)"
CleanTech Acquisition Corp.,7/14/2021,18453L206,CleanTech Acquisition Corp,"('CleanTech Acquisition Corp', 100, 14680)"
Good Works II Acquisition Corp.,7/12/2021,38216G203,Good Works II Acquisition Corp,"('Good Works II Acquisition Corp', 100, 14674)"
Acropolis Infrastructure Acquisition Corp.,7/8/2021,5029202,EG Acquisition Corp,"('EG Acquisition Corp', 87, 14564)"
Galata Acquisition Corp.,7/8/2021,G3R23A124,Galata Acquisition Corp,"('Galata Acquisition Corp', 100, 14671)"
Agrico Acquisition Corp.,7/7/2021,G41089122,Agrico Acquisition Corp,"('Agrico Acquisition Corp', 100, 14666)"
Corsair Partnering Corp.,6/30/2021,G2540H124,Corsair Partnering Corp,"('Corsair Partnering Corp', 100, 14657)"
G3 VRM Acquisition Corp.,6/30/2021,362425209,G3 VRM Acquisition Corp,"('G3 VRM Acquisition Corp', 100, 14661)"
Frontier Investment Corp.,6/30/2021,G36816117,Frontier Investment Corp,"('Frontier Investment Corp', 100, 14660)"
Macondray Capital Acquisition Corp. I,6/30/2021,G5853A123,Macondray Capital Acquisition,"('Macondray Capital Acquisition', 95, 14664)"
Shelter Acquisition Corp. I,6/29/2021,822821203,Shelter Acquisition Corp I,"('Shelter Acquisition Corp I', 98, 14649)"
"Thunder Bridge Capital Partners IV, Inc.",6/29/2021,88605L206,Thunder Bridge Capital IV Inc,"('Thunder Bridge Capital IV Inc', 95, 14654)"
Mountain Crest Acquisition Corp. IV,6/29/2021,62403K207,,
Elliott Opportunity II Corp.,6/28/2021,G30092129,Elliott Opportunity II Corp,"('Elliott Opportunity II Corp', 100, 14637)"
FinTech Acquisition Corp. VI,6/23/2021,31811H205,FinTech Acquisition Corp VI,"('FinTech Acquisition Corp VI', 98, 14623)"
Northern Lights Acquisition Corp.,6/23/2021,66538L204,Northern Lights Acquisition Co,"('Northern Lights Acquisition Co', 97, 14627)"
Coliseum Acquisition Corp.,6/22/2021,G2263T115,L&L Acquisition Corp,"('L&L Acquisition Corp', 89, 11707)"
Golden Path Acquisition Corp.,6/22/2021,G4028H139,Golden Path Acquisition Corp,"('Golden Path Acquisition Corp', 100, 14615)"
JAWS Juggernaut Acquisition Corp.,6/17/2021,G50735128,,
Corner Growth Acquisition Corp. 2,6/16/2021,G2426E112,Corner Growth Acquisition Corp,"('Corner Growth Acquisition Corp', 95, 14060)"
Rice Acquisition Corp. II,6/15/2021,G75529118,Rice Acquisition Corp II,"('Rice Acquisition Corp II', 98, 14598)"
Zimmer Energy Transition Acquisition Corp.,6/15/2021,989570205,Zimmer Energy Transition Acq,"('Zimmer Energy Transition Acq', 87, 14600)"
"G Squared Ascend II, Inc.",6/14/2021,G42041114,G Squared Ascend II Inc,"('G Squared Ascend II Inc', 98, 14596)"
Dila Capital Acquisition Corp.,6/14/2021,254028202,DILA Capital Acquisition Corp,"('DILA Capital Acquisition Corp', 100, 14595)"
Jaws Hurricane Acquisition Corp.,6/10/2021,47201B202,Jaws Acquisition Corp,"('Jaws Acquisition Corp', 95, 13669)"
Logistics Innovation Technologies Corp.,6/10/2021,54141L209,Logistics Innovation Tech,"('Logistics Innovation Tech', 90, 14592)"
Lakeshore Acquisition I Corp.,6/10/2021,G53521129,Lakeshore Acquisition I Corp,"('Lakeshore Acquisition I Corp', 100, 14591)"
Summit Healthcare Acquisition Corp.,6/9/2021,G8566R128,,
Blue Safari Group Acquisition Corp.,6/9/2021,G1195R122,,
Global Consumer Acquisition Corp.,6/8/2021,37892B207,Global Consumer Acquisition,"('Global Consumer Acquisition', 95, 11373)"
Colombier Acquisition Corp.,6/8/2021,19533H207,COLOMBIER ACQUISITION CORP. II,"('COLOMBIER ACQUISITION CORP. II', 95, 15437)"
SPK Acquisition Corp.,6/7/2021,848651204,SPK Acquisition Corp,"('SPK Acquisition Corp', 100, 14576)"
OceanTech Acquisitions I Corp.,5/27/2021,675507206,OceanTech Acquisitions I Corp,"('OceanTech Acquisitions I Corp', 100, 14574)"
Post Holdings Partnering Corp.,5/25/2021,737465203,Post Holdings Partnering Corp,"('Post Holdings Partnering Corp', 100, 14568)"
EG Acquisition Corp.,5/25/2021,26846A209,,
Graf Acquisition Corp. IV,5/21/2021,384272209,Graf Acquisition Corp IV,"('Graf Acquisition Corp IV', 98, 14561)"
Angel Pond Holdings Corp.,5/18/2021,G0447J110,Angel Pond Holdings Corp,"('Angel Pond Holdings Corp', 100, 14551)"
Aries I Acquisition Corp.,5/18/2021,G0542N115,Ares Acquisition Corp,"('Ares Acquisition Corp', 93, 14197)"
Catalyst Partners Acquisition Corp.,5/18/2021,G19550113,HD Partners Acquisition Corp,"('HD Partners Acquisition Corp', 89, 10915)"
Skydeck Acquisition Corp.,5/18/2021,G82220107,Skydeck Acquisition Corp,"('Skydeck Acquisition Corp', 100, 14557)"
"GigInternational1, Inc.",5/18/2021,37518W205,Giginternational1 Inc,"('Giginternational1 Inc', 98, 14556)"
Mountain Crest Acquisition Corp. III,5/17/2021,62402U206,,
Artisan Acquisition Corp.,5/13/2021,G0509L110,Artisan Acquisition Corp.,"('Artisan Acquisition Corp.', 100, 14546)"
Osiris Acquisition Corp.,5/13/2021,68829A202,Orisun Acquisition Corp,"('Orisun Acquisition Corp', 91, 13532)"
Orion Biotech Opportunities Corp.,5/12/2021,G6780C125,Orion Biotech Opportunities,"('Orion Biotech Opportunities', 95, 14545)"
B. Riley Principal 250 Merger Corp.,5/7/2021,05602L203,B. Riley Principal Merger Corp,"('B. Riley Principal Merger Corp', 95, 13435)"
Data Knights Acquisition Corp.,5/7/2021,237699202,,
Maquia Capital Acquisition Corp.,5/4/2021,56564V200,,
Valor Latitude Acquisition Corp.,5/3/2021,G9460N114,Altitude Acquisition Corp,"('Altitude Acquisition Corp', 89, 14024)"
"Big Sky Growth Partners, Inc.",4/28/2021,08954L201,Big Sky Growth Partners Inc,"('Big Sky Growth Partners Inc', 98, 14522)"
TradeUP Global Corp.,4/28/2021,G89877123,TradeUP Global Corp,"('TradeUP Global Corp', 100, 14525)"
Global SPAC Partners Co.,4/8/2021,G3934K137,Global SPAC Partners Co,"('Global SPAC Partners Co', 100, 14490)"
Aldel Financial Inc.,4/8/2021,01407X203,Aldel Financial Inc,"('Aldel Financial Inc', 100, 14489)"
Tio Tech A,4/7/2021,G8T10C122,Tio Tech A,"('Tio Tech A', 100, 14488)"
Model Performance Acquisition Corp.,4/7/2021,G6246M113,,
CM Life Sciences III Inc.,4/6/2021,125841205,CM Life Sciences III Inc,"('CM Life Sciences III Inc', 100, 14485)"
Ace Global Business Acquisition Ltd.,4/5/2021,G0083E128,Gulf Canada Ltd,"('Gulf Canada Ltd', 86, 150)"
Nocturne Acquisition Corp.,3/31/2021,G6580S122,,
"Landcadia Holdings IV, Inc.",3/24/2021,51477A203,Landcadia Holdings IV Inc,"('Landcadia Holdings IV Inc', 98, 14461)"
Northern Genesis Acquisition Corp. III,3/24/2021,66516W206,Northern Genesis Acq Corp III,"('Northern Genesis Acq Corp III', 88, 14457)"
MSD Acquisition Corp.,3/24/2021,G5709C117,MSD Acquisition Corp,"('MSD Acquisition Corp', 100, 14463)"
Corazon Capital V838 Monoceros Corp.,3/23/2021,G24237110,Corazon Capital V838,"('Corazon Capital V838', 90, 14451)"
Decarbonization Plus Acquisition Corp. III,3/23/2021,24279D204,,
Disruptive Acquisition Corp. I,3/23/2021,G2770Y110,Disruptive Acquisition Corp I,"('Disruptive Acquisition Corp I', 98, 14454)"
Newbury Street Acquisition Corp.,3/22/2021,65101L203,,
ArcLight Clean Transition Corp. II,3/22/2021,G0R21B120,ArcLight Clean Transition Corp,"('ArcLight Clean Transition Corp', 95, 13845)"
Rocket Internet Growth Opportunities Corp.,3/22/2021,G7613T111,Rocket Internet Growth,"('Rocket Internet Growth', 90, 14445)"
TB SA Acquisition Corp.,3/22/2021,G8657L113,TB SA Acquisition Corp,"('TB SA Acquisition Corp', 100, 14447)"
Virgin Group Acquisition Corp. II,3/22/2021,G9460K110,,
"Supernova Partners Acquisition Co. III, Ltd.",3/22/2021,G8T90F110,Supernova Partners Acq Co III,"('Supernova Partners Acq Co III', 88, 14446)"
"Gores Guggenheim, Inc.",3/22/2021,38286Q206,Gores Guggenheim Inc,"('Gores Guggenheim Inc', 98, 14439)"
Magnum Opus Acquisition Ltd.,3/22/2021,G5S70A120,,
"Lead Edge Growth Opportunities, Ltd.",3/22/2021,G54085124,Lead Edge Growth Opportunities,"('Lead Edge Growth Opportunities', 95, 14440)"
NextGen Acquisition Corp. II,3/22/2021,G65317110,NextGen Acquisition Corp II,"('NextGen Acquisition Corp II', 98, 14444)"
Glass Houses Acquisition Corp.,3/22/2021,37714P202,Glass Houses Acquisition Corp,"('Glass Houses Acquisition Corp', 100, 14438)"
LDH Growth Corp. I,3/18/2021,G54094118,LDH Growth Corp I,"('LDH Growth Corp I', 97, 14433)"
Longview Acquisition Corp. II,3/18/2021,54319Q204,Longview Acquisition Corp. II,"('Longview Acquisition Corp. II', 100, 14435)"
Levere Holdings Corp.,3/18/2021,G5462L114,Levere Holdings Corp,"('Levere Holdings Corp', 100, 14434)"
Glenfarne Merger Corp.,3/18/2021,378579205,Glenfarne Merger Corp,"('Glenfarne Merger Corp', 100, 14431)"
AF Acquisition Corp.,3/18/2021,1040203,,
BYTE Acquisition Corp.,3/18/2021,G1R25Q121,BYTE Acquisition Corp,"('BYTE Acquisition Corp', 100, 14428)"
American Acquisition Opportunity Inc.,3/17/2021,02369M201,American Acq Opportunity Inc,"('American Acq Opportunity Inc', 88, 14417)"
Forum Merger IV Corp.,3/17/2021,349875203,Forum Merger IV Corp,"('Forum Merger IV Corp', 100, 14419)"
GX Acquisition Corp. II,3/17/2021,36260F204,GX Acquisition Corp II,"('GX Acquisition Corp II', 98, 14420)"
Revolution Healthcare Acquisition Corp.,3/17/2021,76155Y207,,
Accelerate Acquisition Corp.,3/17/2021,00439D201,Accelerate Acquisition Corp,"('Accelerate Acquisition Corp', 100, 14416)"
KKR Acquisition Holdings I Corp.,3/16/2021,48253T208,KKR Acquisition Holdings I,"('KKR Acquisition Holdings I', 95, 14411)"
Athena Technology Acquisition Corp.,3/16/2021,04687A208,,
Tech & Energy Transition Corp.,3/16/2021,87823R201,Tech & Energy Transition Corp,"('Tech & Energy Transition Corp', 100, 14415)"
Golden Arrow Merger Corp.,3/16/2021,380799205,Golden Arrow Merger Corp,"('Golden Arrow Merger Corp', 100, 14409)"
Kadem Sustainable Impact Corp.,3/16/2021,4.83E+208,Kadem Sustainable Impact Corp,"('Kadem Sustainable Impact Corp', 100, 14412)"
Build Acquisition Corp.,3/16/2021,12008J204,,
Reinvent Technology Partners Y,3/15/2021,G7484L114,Reinvent Technology Partners Y,"('Reinvent Technology Partners Y', 100, 14405)"
European Biotech Acquisition Corp.,3/15/2021,G3167F110,,
Fortress Value Acquisition Corp. IV,3/15/2021,34964K207,Fortress Value Acquisition,"('Fortress Value Acquisition', 95, 13659)"
Plum Acquisition Corp. I,3/15/2021,G7134L100,Plum Acquisition Corp I,"('Plum Acquisition Corp I', 98, 14404)"
Waldencast Acquisition Corp.,3/15/2021,G9460C126,Waldencast Acquisition Corp,"('Waldencast Acquisition Corp', 100, 14406)"
FAST Acquisition Corp. II,3/15/2021,311874200,FAST Acquisition Corp II,"('FAST Acquisition Corp II', 98, 14402)"
"Gores Technology Partners II, Inc.",3/11/2021,38287L206,Gores Technology Partners II,"('Gores Technology Partners II', 95, 14394)"
"Gores Technology Partners, Inc.",3/11/2021,382870202,,
Ross Acquisition Corp. II,3/11/2021,G7641C122,Ross Acquisition Corp II,"('Ross Acquisition Corp II', 98, 14399)"
FTAC Parnassus Acquisition Corp.,3/11/2021,30319B207,,
Stratim Cloud Acquisition Corp.,3/11/2021,86309R206,Stratim Cloud Acquisition Corp,"('Stratim Cloud Acquisition Corp', 100, 14400)"
CF Acquisition Corp. VIII,3/11/2021,12520C208,CF Acquisition Corp VIII,"('CF Acquisition Corp VIII', 98, 14391)"
Silver Spike Acquisition Corp. II,3/10/2021,G8201H121,Silver Run Acquisition II Corp,"('Silver Run Acquisition II Corp', 88, 12969)"
G&P Acquisition Corp.,3/10/2021,36146G202,G&P Acquisition Corp,"('G&P Acquisition Corp', 100, 14387)"
Archimedes Tech SPAC Partners Co.,3/10/2021,39562202,Archimedes Tech SPAC Partners,"('Archimedes Tech SPAC Partners', 95, 14383)"
Frontier Acquisition Corp.,3/10/2021,G36826116,,
Pine Technology Acquisition Corp.,3/10/2021,722850203,,
L Catterton Asia Acquisition Corp.,3/10/2021,G5346G109,L Catterton Asia Acquisition,"('L Catterton Asia Acquisition', 95, 14388)"
Agile Growth Corp.,3/9/2021,G01202129,Agile Growth Corp,"('Agile Growth Corp', 100, 14374)"
Digital Transformation Opportunities Corp.,3/9/2021,25401K206,Digital Transformation,"('Digital Transformation', 90, 14376)"
Colonnade Acquisition Corp. II,3/9/2021,G2284B127,Colonnade Acquisition Corp II,"('Colonnade Acquisition Corp II', 98, 14375)"
Sandbridge X2 Corp.,3/9/2021,799792205,Sandbridge X2 Corp,"('Sandbridge X2 Corp', 100, 14381)"
Forest Road Acquisition Corp. II,3/9/2021,34619V202,Forest Road Acquisition Corp,"('Forest Road Acquisition Corp', 95, 14002)"
ESM Acquisition Corp.,3/9/2021,G3195H120,ESM Acquisition Corp,"('ESM Acquisition Corp', 100, 14377)"
PWP Forward Acquisition Corp. I,3/9/2021,74709Q200,PWP Forward Acquisition Corp I,"('PWP Forward Acquisition Corp I', 98, 14379)"
Peridot Acquisition Corp. II,3/8/2021,G7008B113,Peridot Acquisition Corp II,"('Peridot Acquisition Corp II', 98, 14371)"
Independence Holdings Corp.,3/8/2021,G4761A119,Independence Holdings Corp,"('Independence Holdings Corp', 100, 14370)"
VPC Impact Acquisition Holdings II,3/4/2021,G9460L100,II MORROW INC.,"('II MORROW INC.', 86, 1286)"
Tribe Capital Growth Corp. I,3/4/2021,89601Y200,Tribe Capital Growth Corp I,"('Tribe Capital Growth Corp I', 98, 14364)"
"VPC Impact Acquisition Holdings III, Inc.",3/4/2021,91835J207,SP Acquisition Holdings Inc,"('SP Acquisition Holdings Inc', 89, 11310)"
First Reserve Sustainable Growth Corp.,3/4/2021,336169206,First Reserve Sustainable,"('First Reserve Sustainable', 95, 14358)"
Property Solutions Acquisition Corp. II,3/4/2021,74350A207,Property Solutions Acq Corp II,"('Property Solutions Acq Corp II', 88, 14354)"
Interprivate II Acquisition Corp.,3/4/2021,46064Q207,,
Interprivate III Financial Partners Inc.,3/4/2021,46064R205,InterPrivate III Financial,"('InterPrivate III Financial', 90, 14360)"
InterPrivate IV InfraTech Partners Inc.,3/4/2021,46064T201,InterPrivate IV InfraTech,"('InterPrivate IV InfraTech', 90, 14361)"
Warburg Pincus Capital Corp. I-A,3/4/2021,G9461D123,Warburg Pincus Capital I-A,"('Warburg Pincus Capital I-A', 95, 14367)"
Warburg Pincus Capital Corp. I-B,3/4/2021,G9460M116,Warburg Pincus Capital I-B,"('Warburg Pincus Capital I-B', 95, 14368)"
"dMY Technology Group, Inc. IV",3/4/2021,23344K201,Dmy Technology Group Inc IV,"('Dmy Technology Group Inc IV', 96, 14357)"
Tailwind Two Acquisition Corp.,3/4/2021,G86613117,Tailwind Acquisition Corp,"('Tailwind Acquisition Corp', 95, 13810)"
Twin Ridge Capital Acquisition Corp.,3/3/2021,G9151L112,,
Altimar Acquisition Corp. III,3/3/2021,G0370U124,Altimar Acquisition Corp III,"('Altimar Acquisition Corp III', 98, 14347)"
FTAC Hera Acquisition Corp.,3/3/2021,G3728Y129,FTAC Hera Acquisition Corp,"('FTAC Hera Acquisition Corp', 100, 14350)"
Atlantic Coastal Acquisition Corp.,3/3/2021,48453203,Atlantic Acquisition Corp,"('Atlantic Acquisition Corp', 95, 13051)"
RXR Acquisition Corp.,3/3/2021,74981W206,RXR Acquisition Corp,"('RXR Acquisition Corp', 100, 14355)"
Aurora Acquisition Corp.,3/3/2021,G0698L111,Aurora Acquisition Corp,"('Aurora Acquisition Corp', 100, 14349)"
M3-Brigade Acquisition II Corp.,3/3/2021,553800202,,
Roth CH Acquisition III Co.,3/2/2021,77867Q201,Roth CH Acquisition III Co,"('Roth CH Acquisition III Co', 100, 14346)"
Isos Acquisition Corp.,3/2/2021,G4962C120,Isos Acquisition Corp,"('Isos Acquisition Corp', 100, 14343)"
Live Oak Mobility Acquisition Corp.,3/2/2021,538126202,Live Oak Acquisition Corp,"('Live Oak Acquisition Corp', 95, 13663)"
Mission Advancement Corp.,3/2/2021,60501L200,Mission Advancement Corp,"('Mission Advancement Corp', 100, 14344)"
Arrowroot Acquisition Corp.,3/2/2021,04282M201,Arrowroot Acquisition Corp,"('Arrowroot Acquisition Corp', 100, 14330)"
Goldenbridge Acquisition Ltd.,3/1/2021,G3970D112,Goldenbridge Acquisition Ltd,"('Goldenbridge Acquisition Ltd', 100, 14334)"
Northern Star Investment Corp. IV,3/1/2021,66575B200,Northern Star Invest Corp IV,"('Northern Star Invest Corp IV', 92, 14339)"
Northern Star Investment Corp. III,3/1/2021,66574L209,Northern Star Invest Corp III,"('Northern Star Invest Corp III', 92, 14338)"
TCW Special Purpose Acquisition Corp.,3/1/2021,87301L205,TCW Special Purpose Acq Corp,"('TCW Special Purpose Acq Corp', 88, 14342)"
"Advanced Merger Partners, Inc.",3/1/2021,00777J208,Advanced Merger Partners Inc,"('Advanced Merger Partners Inc', 98, 14328)"
Anzu Special Acquisition Corp. I,3/1/2021,03737A200,,
"Supernova Partners Acquisition Co. II, Ltd.",3/1/2021,G8T86C113,THE EXPLORATION CO.,"('THE EXPLORATION CO.', 86, 128)"
Nightdragon Acquisition Corp.,3/1/2021,65413D204,Nightdragon Acquisition Corp,"('Nightdragon Acquisition Corp', 100, 14337)"
Fintech Evolution Acquisition Group,3/1/2021,G3R19A112,FinTech Evolution Acq Group,"('FinTech Evolution Acq Group', 87, 14333)"
Haymaker Acquisition Corp. III,3/1/2021,42087R207,Haymaker Acquisition Corp III,"('Haymaker Acquisition Corp III', 98, 14335)"
DHB Capital Corp.,3/1/2021,23291W208,DHB Capital Corp,"('DHB Capital Corp', 100, 14331)"
Orion Acquisition Corp.,3/1/2021,68626A207,Orion Acquisition Corp,"('Orion Acquisition Corp', 100, 14340)"
DHC Acquisition Corp.,3/1/2021,G2758T125,DHC Acquisition Corp,"('DHC Acquisition Corp', 100, 14332)"
Leo Holdings III Corp.,2/26/2021,G5463T116,Leo Holdings III Corp,"('Leo Holdings III Corp', 100, 14323)"
Ibere Pharmaceuticals,2/26/2021,G46843127,Ibere Pharmaceuticals,"('Ibere Pharmaceuticals', 100, 14321)"
African Gold Acquisition Corp.,2/25/2021,G0112R116,African Gold Acquisition Corp,"('African Gold Acquisition Corp', 100, 14315)"
Kensington Capital Acquisition Corp. II,2/25/2021,49006L203,,
Fusion Acquisition Corp. II,2/25/2021,36118N201,Fusion Acquisition Corp II,"('Fusion Acquisition Corp II', 98, 14320)"
MCAP Acquisition Corp.,2/25/2021,55282T208,MCAP Acquisition Corp,"('MCAP Acquisition Corp', 100, 14324)"
Twelve Seas Investment Co. II,2/25/2021,90118T205,Twelve Seas Investment Co II,"('Twelve Seas Investment Co II', 98, 14326)"
Silverbox Engaged Merger Corp. I,2/25/2021,82836L200,Silverbox Engaged Merger Corp,"('Silverbox Engaged Merger Corp', 95, 14325)"
Warrior Technologies Acquisition Co.,2/25/2021,936273200,SYMBOL TECHNOLOGIES,"('SYMBOL TECHNOLOGIES', 86, 104)"
Freedom Acquisition I Corp.,2/25/2021,G3663X102,Freedom Acquisition I Corp,"('Freedom Acquisition I Corp', 100, 14319)"
Austerlitz Acquisition Corp. II,2/25/2021,G0633U119,Austerlitz Acquisition Corp II,"('Austerlitz Acquisition Corp II', 98, 14318)"
Austerlitz Acquisition Corp. I,2/25/2021,G0633D117,Austerlitz Acquisition Corp I,"('Austerlitz Acquisition Corp I', 98, 14317)"
Isleworth Healthcare Acquisition Corp.,2/24/2021,46468P201,,
"Gores Holdings VIII, Inc.",2/24/2021,382863207,Gores Holdings VIII Inc,"('Gores Holdings VIII Inc', 98, 14312)"
Hudson Executive Investment Corp. III,2/24/2021,44376L206,,
Flame Acquisition Corp.,2/24/2021,33850F207,Flame Acquisition Corp,"('Flame Acquisition Corp', 100, 14311)"
USHG Acquisition Corp.,2/24/2021,91748P209,USHG Acquisition Corp,"('USHG Acquisition Corp', 100, 14314)"
EJF Acquisition Corp.,2/24/2021,G2955B117,EJF Acquisition Corp,"('EJF Acquisition Corp', 100, 14310)"
Soaring Eagle Acquisition Corp.,2/23/2021,G8354H100,Soaring Eagle Acquisition Corp,"('Soaring Eagle Acquisition Corp', 100, 14309)"
"Gores Holdings VII, Inc.",2/23/2021,38286T200,Gores Holdings VII Inc,"('Gores Holdings VII Inc', 98, 14301)"
BOA Acquisition Corp.,2/23/2021,05601A208,BOA Acquisition Corp,"('BOA Acquisition Corp', 100, 14304)"
Colicity Inc.,2/23/2021,194170205,Colicity Inc,"('Colicity Inc', 100, 14306)"
Cartesian Growth Corp.,2/23/2021,G19276123,Cartesian Growth Corp,"('Cartesian Growth Corp', 100, 14305)"
FTAC Athena Acquisition Corp.,2/22/2021,G37283127,FTAC Athena Acquisition Corp,"('FTAC Athena Acquisition Corp', 100, 14300)"
CM Life Sciences II Inc.,2/22/2021,125842203,CM Life Sciences II Inc,"('CM Life Sciences II Inc', 100, 14299)"
Slam Corp.,2/22/2021,G8210L113,Slam Corp,"('Slam Corp', 100, 14302)"
Velocity Acquisition Corp.,2/22/2021,9.23E+207,,
Arctos Northstar Acquisition Corp.,2/22/2021,G0477L118,,
B. Riley Principal 150 Merger Corp.,2/18/2021,05601V202,,
CF Acquisition Corp. VI,2/18/2021,12521J202,CF Acquisition Corp VI,"('CF Acquisition Corp VI', 98, 14294)"
Alpha Capital Acquisition Co.,2/18/2021,G0316P114,,
Tailwind International Acquisition Corp.,2/18/2021,G8662F127,,
"Simon Property Group Acquisition Holdings, Inc.",2/18/2021,82880R202,CHRISTENSE,"('CHRISTENSEN, INC.', 86, 6)"
Figure Acquisition Corp. I,2/18/2021,302438205,,
Kismet Acquisition Three Corp.,2/17/2021,G5276C128,Kismet Acquisition Three Corp,"('Kismet Acquisition Three Corp', 100, 14291)"
Kismet Acquisition Two Corp.,2/17/2021,G52807123,Kismet Acquisition One Corp,"('Kismet Acquisition One Corp', 93, 13768)"
SportsTek Acquisition Corp.,2/17/2021,849196209,SportsTek Acquisition Corp,"('SportsTek Acquisition Corp', 100, 14287)"
Finserv Acquisition Corp. II,2/17/2021,31809Y202,FinServ Acquisition Corp II,"('FinServ Acquisition Corp II', 98, 14289)"
Medicus Sciences Acquisition Corp.,2/16/2021,G5960S116,,
Pathfinder Acquisition Corp.,2/16/2021,G04119114,Pathfinder Acquisition Corp,"('Pathfinder Acquisition Corp', 100, 14286)"
Moringa Acquisition Corp.,2/16/2021,G6S23K116,,
New Vista Acquisition Corp.,2/16/2021,G6529L113,,
Churchill Capital Corp. VII,2/12/2021,17144M201,Churchill Capital Corp VII,"('Churchill Capital Corp VII', 98, 14271)"
Churchill Capital Corp. VI,2/12/2021,17143W200,Churchill Capital Corp VI,"('Churchill Capital Corp VI', 98, 14270)"
Tishman Speyer Innovation Corp. II,2/11/2021,88825H209,Tishman Speyer Innovation II,"('Tishman Speyer Innovation II', 95, 14278)"
Bite Acquisition Corp.,2/11/2021,09175K204,Bite Acquisition Corp,"('Bite Acquisition Corp', 100, 14267)"
Social Leverage Acquisition Corp. I,2/11/2021,83363K201,Social Leverage Acquisition,"('Social Leverage Acquisition', 95, 14276)"
