,offer date,IPO name,ticker,CUSIP,Rollup,VC,Dual,Internet,Post-issue shares,CRSP perm,Founding,Unnamed: 11,Unnamed: 12,Unnamed: 13,SPAC IPO ,Date of IPO,IS_SPAC
12579,20150520,GP Investments Acq Corp,GPIAU,G4035712,0,0,1,0,0,15525,2015,,,,,,False
12580,20150521,Baozun Inc,BZUN,06684L103,0,0,1,0,48608437,15365,2007,,,,,,False
12581,20150521,Community Healthcare Trust Inc,CHCT,20369C106,0,0,0,0,.,15343,2014,,,,,,False
12582,20150521,Press Ganey Holdings Inc,PGND,74113L102,0,0,0,0,.,15357,1985,,,,,,False
12583,20150521,Shopify Inc,SHOP,82509L107,0,1,1,1,74437417,15358,2004,,,,,,False
12584,20150522,AllianzGI Diversified Income,ACV,01883J108,0,0,0,0,.,15337,2015,,,,,,False
12585,20150604,PennTex Midstream Partners LP,PTXP,709311104,0,0,1,0,40000000,15434,-99,,,,,,False
12586,20150605,DAVIDsTea Inc,DTEA,23866110,0,2,0,0,.,15425,2008,,,,,,False
12587,20150605,EndoChoice Holdings Inc,GI,29272U103,0,1,0,0,.,15451,2007,,,,,,False
12588,20150605,Evolent Health Inc,EVH,30050B101,0,1,1,0,67251344,15452,2011,,,,,,False
12589,20150611,Axovant Sciences Ltd,AXON,G0750W10,0,0,0,0,.,15486,2014,,,,,,False
12590,20150611,People's Utah Bancorp,PUB,712706209,0,0,0,0,.,15435,1998,,,,,,False
12591,20150612,Wingstop Inc,WING,974155103,0,0,0,0,.,15440,1994,,,,,,False
12592,20150615,Invuity Inc,IVTY,46187J106,0,1,0,0,.,15428,2004,,,,,,False
12593,20150617,Nivalis Therapeutics Inc,NVLS,65481J109,0,1,0,0,.,15432,2007,,,,,,False
12594,20150618,Fitbit Inc,FIT,33812L102,0,1,1,0,204650619,15390,2007,,,,,,False
12595,20150618,Univar Inc,UNVR,91336L107,0,0,0,0,.,15482,1924,,,,,,False
12596,20150619,8point3 Energy Partners LP,CAFD,282539105,0,0,1,0,91000000,15415,2015,,,,,,False
12597,20150619,Eagle Growth & Income Opport,EGIF,26958J105,0,0,0,0,.,15450,1986,,,,,,False
12598,20150619,Fogo De Chao Inc,FOGO,344177100,0,0,0,0,.,15426,1979,,,,,,False
12599,20150619,MINDBODY Inc,MB,60255W105,0,1,1,1,39117544,15430,1998,,,,,,False
12600,20150624,Ritter Pharmaceuticals Inc,RTTR,767836109,0,1,0,0,.,15436,2004,,,,,,False
12601,20150625,Catabasis Pharmaceuticals Inc,CATB,14875P107,0,1,0,0,.,15416,2008,,,,,,False
12602,20150625,Gener8 Maritime Inc,GNRT,Y2688910,0,0,0,0,.,15487,1997,,,,,,False
12603,20150625,Glaukos Corp,GKOS,377322102,0,1,0,0,.,15454,1998,,,,,,False
12604,20150625,Lantheus Holdings Inc,LNTH,516544103,0,0,0,0,.,15429,1956,,,,,,False
12605,20150625,Milacron Holdings Corp,MCRN,59870L106,0,0,0,0,.,15466,1970,,,,,,False
12606,20150625,TransUnion,TRU,89400J107,0,0,0,1,.,15478,1968,,,,,,False
12607,20150626,Alarm.com Holdings Inc,ALRM,011642105,0,1,0,0,.,15409,2000,,,,,,False
12608,20150626,AppFolio Inc,APPF,03783C100,0,1,1,0,26123910,15410,2006,,,,,,False
12609,20150626,Green Plains Partners LP,GPP,393221106,0,0,1,0,31779284,15427,-99,,,,,,False
12610,20150626,Seres Therapeutics Inc,MCRB,81750R102,0,1,0,0,.,15431,2010,,,,,,False
12611,20150626,Tekla World Healthcare Fund,THW,87911L10,0,0,0,0,.,15477,-99,,,,,,False
12612,20150626,Xactly Corp,XTLY,98386L101,0,1,0,1,.,15485,2005,,,,,,False
12613,20150626,Yulong Eco-Materials Ltd,YECO,G9884711,0,0,0,0,.,15441,2011,,,,,,False
12614,20150630,Unique Fabricating,UFAB,90915J103,.,0,0,0,.,15590,1975,,,,,,False
12615,20150701,CNX Coal Resources LP,CNXC,12592V100,0,0,1,0,11611076,15550,2015,,,,,,False
12616,20150701,ConforMIS Inc,CFMS,20717E101,0,1,0,0,.,15496,2004,,,,,,False
12617,20150701,Teladoc Inc,TDOC,87918A105,0,1,0,0,.,15585,2002,,,,,,False
12618,20150702,Natera Inc,NTRA,632307104,0,1,0,0,.,15534,2003,,,,,,False
12619,20150716,Chiasma Inc,CHMA,16706W102,0,1,0,0,.,15497,2001,,,,,,False
12620,20150716,Jupai Holdings Ltd,JP,48205B107,0,0,1,0,176016759,15577,2012,,,,,,False
12621,20150716,Ollie's Bargain Outlet Hldg,OLLI,681116109,0,0,0,0,.,15535,1982,,,,,,False
12622,20150716,ProNAi Therapeutics Inc,DNAI,74346L101,0,1,0,0,.,15507,2003,,,,,,False
12623,20150717,MCBC Holdings Inc,MCFT,55276F107,0,0,0,0,.,15530,1968,,,,,,False
12624,20150717,Ooma Inc,OOMA,683416101,0,1,0,0,.,15582,2003,,,,,,False
12625,20150717,Rapid7 Inc,RPD,753422104,0,1,0,1,.,15541,2000,,,,,,False
12626,20150722,Blue Buffalo Pet Products Inc,BUFF,09531U102,0,2,0,0,.,15494,2002,,,,,,False
12627,20150723,Hennessy Capital Acq Corp II,HCACU,42588J209,0,0,1,0,21875000,15654,2015,,,,,,False
12628,20150723,Live Oak Bancshares Inc,LOB,53803X105,0,0,0,0,.,15527,2008,,,,,,False
12629,20150723,Neos Therapeutics Inc,NEOS,64052L106,0,1,0,0,.,15531,1994,,,,,,False
12630,20150724,JM Global Holding Co,WYIGU,46590H200,0,0,1,0,6562500,15664,2015,,,,,,False
12631,20150728,NantKwest Inc,NK,63016Q102,0,0,0,0,.,15533,2002,,,,,,False
12632,20150728,Nuveen High Income 2020,JHY,67075L102,0,0,0,0,.,15581,2015,,,,,,False
12633,20150729,Easterly Acquisition Corp,EACQU,27616L201,0,0,1,0,0,15652,2015,,,,,,False
12634,20150729,Global Partner Acq Corp,GPACU,37954X204,0,0,1,0,16875000,15639,2015,,,,,,False
12635,20150730,vTv Therapeutics Inc,VTVT,918385105,0,0,1,0,32812500,15542,1998,,,,,,False
12636,20150731,Aqua Metals Inc,AQMS,03837J101,0,0,0,0,.,15493,2014,,,,,,False
12637,20150731,TerraForm Global Inc,GLBL,88104M101,0,0,1,0,178849099,15523,2014,,,,,,False
12638,20150805,Amplify Snack Brands Inc,BETR,03211L102,0,0,0,0,.,15599,2010,,,,,,False
12639,20150805,Sunrun Inc,RUN,86771W105,0,2,0,0,.,15643,2007,,,,,,False
12640,20150805,Zynerba Pharmaceuticals Inc,ZYNE,98986X109,0,1,0,0,.,15646,2007,,,,,,False
12641,20150806,Aimmune Therapeutics Inc,AIMT,00900T107,0,1,0,0,.,15630,2011,,,,,,False
12642,20150806,Planet Fitness Inc,PLNT,72703H101,0,0,1,0,98709740,15627,1992,,,,,,False
12643,20150812,E-Compass Acquisition Corp,ECAC,G2920Y10,0,0,1,0,0,15783,2014,,,,,,False
12644,20150812,Global Blood Therapeutics Inc,GBT,37890U108,0,1,0,0,.,15638,2011,,,,,,False
12645,20150813,Conifer Holdings Inc,CNFR,20731J102,0,2,0,0,.,15636,2009,,,,,,False
12646,20150813,Houlihan Lokey Inc,HLI,441593100,0,0,1,0,65212700,15623,1972,,,,,,False
12647,20150814,Gores Holdings Inc,GRSHU,382866200,0,0,1,0,43750000,15785,2015,,,,,,False
12648,20150910,Pace Holdings Corp,PACEU,G6865N10,0,0,1,0,0,15792,2015,,,,,,False
12649,20150911,Double Eagle Acquisition Corp,EAGLU,G2819512,0,0,1,0,0,15782,2015,,,,,,False
12650,20150917,Regenxbio Inc,RGNX,75901B107,0,1,0,0,.,15658,2008,,,,,,False
12651,20150918,Nabriva Therapeutics,NBRV,62957M104,0,1,1,0,10063972,20197,2005,,,,,,False
12652,20150918,Penumbra Inc,PEN,70975L107,0,1,0,0,.,15694,2004,,,,,,False
12653,20150922,Boulevard Acquisition Corp II,BLVDU,10157Q201,0,0,1,0,43750000,15832,2015,,,,,,False
12654,20150924,First Tr Dynamic Europe Eq,FDEU,33740D107,0,0,0,0,.,15674,2015,,,,,,False
12655,20151001,Edge Therapeutics Inc,EDGE,279870109,0,1,0,0,.,15784,2009,,,,,,False
